DATEtxt,DATEmdyyy,SP500change,TB3MS,30YR,Inflation,Recession,SunSpots
197104,4/1/1971,3.55,3.86,7.31,5.34,0,24.14
197105,5/1/1971,-3.54,4.14,7.43,5.09,0,-0.42
197106,6/1/1971,-1.50,4.75,7.53,5.27,0,-13.62
197107,7/1/1971,-4.21,5.40,7.60,5.20,0,40.14
197108,8/1/1971,3.20,4.94,7.70,4.95,0,6.30
197109,9/1/1971,-0.74,4.69,7.69,4.71,0,-12.88
197110,10/1/1971,-4.75,4.46,7.63,4.41,0,-10.32
197111,11/1/1971,1.28,4.22,7.55,3.98,0,9.35
197112,12/1/1971,6.97,4.01,7.48,3.71,0,42.34
197201,1/1/1972,2.23,3.38,7.44,3.76,0,6.30
197202,2/1/1972,2.46,3.20,7.33,3.87,0,53.09
197203,3/1/1972,-0.14,3.73,7.30,4.08,0,38.68
197204,4/1/1972,0.18,3.71,7.29,3.99,0,9.47
197205,5/1/1972,2.66,3.69,7.37,3.88,0,39.16
197206,6/1/1972,-2.33,3.91,7.37,3.50,0,52.36
197207,7/1/1972,-0.09,3.98,7.40,3.48,0,32.32
197208,8/1/1972,2.48,4.02,7.40,3.38,0,33.06
197209,9/1/1972,-0.86,4.66,7.42,3.14,0,10.82
197210,10/1/1972,1.29,4.74,7.42,3.34,0,6.18
197211,11/1/1972,3.55,4.78,7.43,3.28,0,-27.67
197212,12/1/1972,0.57,5.07,7.44,3.15,0,-21.44
197301,1/1/1973,-2.58,5.41,7.44,2.85,0,-24.49
197302,2/1/1973,-2.68,5.60,7.44,2.89,0,-25.59
197303,3/1/1973,0.42,6.09,7.46,2.93,0,-20.09
197304,4/1/1973,-2.91,6.26,7.54,3.04,0,-0.06
197305,5/1/1973,-2.01,6.36,7.65,3.18,0,-26.32
197306,6/1/1973,0.32,7.19,7.73,3.10,0,-31.46
197307,7/1/1973,5.17,8.01,8.05,3.02,0,-59.44
197308,8/1/1973,-2.42,8.67,8.50,3.33,0,-55.28
197309,9/1/1973,3.75,8.29,8.82,3.95,0,2.75
197310,10/1/1973,0.07,7.22,8.77,4.78,1,-46.61
197311,11/1/1973,-10.89,7.83,8.58,4.94,1,-58.09
197312,12/1/1973,3.89,7.45,8.54,5.32,1,-59.31
197401,1/1/1974,-1.14,7.77,8.54,5.86,1,-51.86
197402,2/1/1974,0.94,7.12,8.46,6.30,1,-54.43
197403,3/1/1974,-1.62,7.96,8.41,6.83,1,-62.25
197404,4/1/1974,-3.15,8.33,8.58,7.12,1,-29.75
197405,5/1/1974,-5.36,8.23,8.97,7.75,1,-31.21
197406,6/1/1974,-3.48,7.90,9.09,8.64,1,-37.08
197407,7/1/1974,-7.80,7.55,9.28,9.55,1,-3.35
197408,8/1/1974,-8.38,8.96,9.59,10.13,1,-41.48
197409,9/1/1974,-9.90,8.06,9.96,10.62,1,-30.11
197410,10/1/1974,16.58,7.46,9.98,10.59,1,-17.89
197411,11/1/1974,-5.29,7.47,9.79,11.02,1,-56.14
197412,12/1/1974,0.66,7.15,9.62,11.53,1,-63.83
197501,1/1/1975,9.61,6.26,9.43,11.66,1,-66.64
197502,2/1/1975,4.85,5.50,9.11,11.82,1,-79.60
197503,3/1/1975,0.40,5.49,8.90,11.60,1,-79.35
197504,4/1/1975,5.64,5.61,8.82,11.73,0,-90.59
197505,5/1/1975,3.46,5.23,8.91,10.95,0,-83.99
197506,6/1/1975,2.82,5.34,8.89,10.46,0,-79.60
197507,7/1/1975,-6.43,6.13,8.89,9.79,0,-50.64
197508,8/1/1975,-1.26,6.44,8.94,8.94,0,-30.72
197509,9/1/1975,-1.88,6.42,9.13,8.55,0,-75.20
