DATE,SP500,TB3MS,30YEAR,INFLATION,RECESSION,SUNSPOTS
197104,3.55,3.86,7.31,5.34,0,24.14
197105,-3.54,4.14,7.43,5.09,0,-0.42
197106,-1.5,4.75,7.53,5.27,0,-13.62
197107,-4.21,5.4,7.6,5.2,0,40.14
197108,3.2,4.94,7.7,4.95,0,6.3
197109,-0.74,4.69,7.69,4.71,0,-12.88
197110,-4.75,4.46,7.63,4.41,0,-10.32
197111,1.28,4.22,7.55,3.98,0,9.35
197112,6.97,4.01,7.48,3.71,0,42.34
197201,2.23,3.38,7.44,3.76,0,6.3
197202,2.46,3.2,7.33,3.87,0,53.09
197203,-0.14,3.73,7.3,4.08,0,38.68
197204,0.18,3.71,7.29,3.99,0,9.47
197205,2.66,3.69,7.37,3.88,0,39.16
197206,-2.33,3.91,7.37,3.5,0,52.36
197207,-0.09,3.98,7.4,3.48,0,32.32
197208,2.48,4.02,7.4,3.38,0,33.06
197209,-0.86,4.66,7.42,3.14,0,10.82
197210,1.29,4.74,7.42,3.34,0,6.18
197211,3.55,4.78,7.43,3.28,0,-27.67
197212,0.57,5.07,7.44,3.15,0,-21.44
197301,-2.58,5.41,7.44,2.85,0,-24.49
197302,-2.68,5.6,7.44,2.89,0,-25.59
197303,0.42,6.09,7.46,2.93,0,-20.09
197304,-2.91,6.26,7.54,3.04,0,-0.06
197305,-2.01,6.36,7.65,3.18,0,-26.32
197306,0.32,7.19,7.73,3.1,0,-31.46
197307,5.17,8.01,8.05,3.02,0,-59.44
197308,-2.42,8.67,8.5,3.33,0,-55.28
197309,3.75,8.29,8.82,3.95,0,2.75
197310,0.07,7.22,8.77,4.78,1,-46.61
197311,-10.89,7.83,8.58,4.94,1,-58.09
197312,3.89,7.45,8.54,5.32,1,-59.31
197401,-1.14,7.77,8.54,5.86,1,-51.86
197402,0.94,7.12,8.46,6.3,1,-54.43
197403,-1.62,7.96,8.41,6.83,1,-62.25
197404,-3.15,8.33,8.58,7.12,1,-29.75
197405,-5.36,8.23,8.97,7.75,1,-31.21
197406,-3.48,7.9,9.09,8.64,1,-37.08
197407,-7.8,7.55,9.28,9.55,1,-3.35
197408,-8.38,8.96,9.59,10.13,1,-41.48
197409,-9.9,8.06,9.96,10.62,1,-30.11
197410,16.58,7.46,9.98,10.59,1,-17.89
197411,-5.29,7.47,9.79,11.02,1,-56.14
197412,0.66,7.15,9.62,11.53,1,-63.83
197501,9.61,6.26,9.43,11.66,1,-66.64
