,DATE,SP500,month,number
0,10/29/2018,2641.25,2018-10-29,2641.25
1,10/30/2018,2682.63,2018-10-30,2682.63
2,10/31/2018,2711.74,2018-10-31,2711.74
3,11/1/2018,2740.37,2018-11-01,2740.37
4,11/2/2018,2723.06,2018-11-02,2723.06
5,11/5/2018,2738.31,2018-11-05,2738.31
6,11/6/2018,2755.45,2018-11-06,2755.45
7,11/7/2018,2813.89,2018-11-07,2813.89
8,11/8/2018,2806.83,2018-11-08,2806.83
9,11/9/2018,2781.01,2018-11-09,2781.01
10,11/12/2018,2726.22,2018-11-12,2726.22
11,11/13/2018,2722.18,2018-11-13,2722.18
12,11/14/2018,2701.58,2018-11-14,2701.58
13,11/15/2018,2730.2,2018-11-15,2730.2
14,11/16/2018,2736.27,2018-11-16,2736.27
15,11/19/2018,2690.73,2018-11-19,2690.73
16,11/20/2018,2641.89,2018-11-20,2641.89
17,11/21/2018,2649.93,2018-11-21,2649.93
18,11/22/2018,,2018-11-22,
19,11/23/2018,2632.56,2018-11-23,2632.56
20,11/26/2018,2673.45,2018-11-26,2673.45
21,11/27/2018,2682.17,2018-11-27,2682.17
22,11/28/2018,2743.79,2018-11-28,2743.79
23,11/29/2018,2737.76,2018-11-29,2737.76
24,11/30/2018,2760.17,2018-11-30,2760.17
25,12/3/2018,2790.37,2018-12-03,2790.37
26,12/4/2018,2700.06,2018-12-04,2700.06
27,12/5/2018,,2018-12-05,
28,12/6/2018,2695.95,2018-12-06,2695.95
29,12/7/2018,2633.08,2018-12-07,2633.08
30,12/10/2018,2637.72,2018-12-10,2637.72
31,12/11/2018,2636.78,2018-12-11,2636.78
32,12/12/2018,2651.07,2018-12-12,2651.07
33,12/13/2018,2650.54,2018-12-13,2650.54
34,12/14/2018,2599.95,2018-12-14,2599.95
35,12/17/2018,2545.94,2018-12-17,2545.94
36,12/18/2018,2546.16,2018-12-18,2546.16
37,12/19/2018,2506.96,2018-12-19,2506.96
38,12/20/2018,2467.42,2018-12-20,2467.42
39,12/21/2018,2416.62,2018-12-21,2416.62
40,12/24/2018,2351.1,2018-12-24,2351.1
41,12/25/2018,,2018-12-25,
42,12/26/2018,2467.7,2018-12-26,2467.7
43,12/27/2018,2488.83,2018-12-27,2488.83
44,12/28/2018,2485.74,2018-12-28,2485.74
45,12/31/2018,2506.85,2018-12-31,2506.85
46,1/1/2019,,2019-01-01,
47,1/2/2019,2510.03,2019-01-02,2510.03
48,1/3/2019,2447.89,2019-01-03,2447.89
49,1/4/2019,2531.94,2019-01-04,2531.94
50,1/7/2019,2549.69,2019-01-07,2549.69
51,1/8/2019,2574.41,2019-01-08,2574.41
52,1/9/2019,2584.96,2019-01-09,2584.96
53,1/10/2019,2596.64,2019-01-10,2596.64
54,1/11/2019,2596.26,2019-01-11,2596.26
55,1/14/2019,2582.61,2019-01-14,2582.61
56,1/15/2019,2610.3,2019-01-15,2610.3
57,1/16/2019,2616.1,2019-01-16,2616.1
58,1/17/2019,2635.96,2019-01-17,2635.96
59,1/18/2019,2670.71,2019-01-18,2670.71
60,1/21/2019,,2019-01-21,
61,1/22/2019,2632.9,2019-01-22,2632.9
62,1/23/2019,2638.7,2019-01-23,2638.7
63,1/24/2019,2642.33,2019-01-24,2642.33
64,1/25/2019,2664.76,2019-01-25,2664.76
65,1/28/2019,2643.85,2019-01-28,2643.85
66,1/29/2019,2640.0,2019-01-29,2640.0
67,1/30/2019,2681.05,2019-01-30,2681.05
68,1/31/2019,2704.1,2019-01-31,2704.1
69,2/1/2019,2706.53,2019-02-01,2706.53
70,2/4/2019,2724.87,2019-02-04,2724.87
71,2/5/2019,2737.7,2019-02-05,2737.7
72,2/6/2019,2731.61,2019-02-06,2731.61
73,2/7/2019,2706.05,2019-02-07,2706.05
74,2/8/2019,2707.88,2019-02-08,2707.88
75,2/11/2019,2709.8,2019-02-11,2709.8
76,2/12/2019,2744.73,2019-02-12,2744.73
77,2/13/2019,2753.03,2019-02-13,2753.03
78,2/14/2019,2745.73,2019-02-14,2745.73
79,2/15/2019,2775.6,2019-02-15,2775.6
80,2/18/2019,,2019-02-18,
81,2/19/2019,2779.76,2019-02-19,2779.76
82,2/20/2019,2784.7,2019-02-20,2784.7
83,2/21/2019,2774.88,2019-02-21,2774.88
84,2/22/2019,2792.67,2019-02-22,2792.67
85,2/25/2019,2796.11,2019-02-25,2796.11
86,2/26/2019,2793.9,2019-02-26,2793.9
87,2/27/2019,2792.38,2019-02-27,2792.38
88,2/28/2019,2784.49,2019-02-28,2784.49
89,3/1/2019,2803.69,2019-03-01,2803.69
90,3/4/2019,2792.81,2019-03-04,2792.81
91,3/5/2019,2789.65,2019-03-05,2789.65
92,3/6/2019,2771.45,2019-03-06,2771.45
93,3/7/2019,2748.93,2019-03-07,2748.93
94,3/8/2019,2743.07,2019-03-08,2743.07
95,3/11/2019,2783.3,2019-03-11,2783.3
96,3/12/2019,2791.52,2019-03-12,2791.52
97,3/13/2019,2810.92,2019-03-13,2810.92
98,3/14/2019,2808.48,2019-03-14,2808.48
99,3/15/2019,2822.48,2019-03-15,2822.48
100,3/18/2019,2832.94,2019-03-18,2832.94
101,3/19/2019,2832.57,2019-03-19,2832.57
102,3/20/2019,2824.23,2019-03-20,2824.23
103,3/21/2019,2854.88,2019-03-21,2854.88
104,3/22/2019,2800.71,2019-03-22,2800.71
105,3/25/2019,2798.36,2019-03-25,2798.36
106,3/26/2019,2818.46,2019-03-26,2818.46
107,3/27/2019,2805.37,2019-03-27,2805.37
108,3/28/2019,2815.44,2019-03-28,2815.44
109,3/29/2019,2834.4,2019-03-29,2834.4
110,4/1/2019,2867.19,2019-04-01,2867.19
111,4/2/2019,2867.24,2019-04-02,2867.24
112,4/3/2019,2873.4,2019-04-03,2873.4
113,4/4/2019,2879.39,2019-04-04,2879.39
114,4/5/2019,2892.74,2019-04-05,2892.74
115,4/8/2019,2895.77,2019-04-08,2895.77
116,4/9/2019,2878.2,2019-04-09,2878.2
117,4/10/2019,2888.21,2019-04-10,2888.21
118,4/11/2019,2888.32,2019-04-11,2888.32
119,4/12/2019,2907.41,2019-04-12,2907.41
120,4/15/2019,2905.58,2019-04-15,2905.58
121,4/16/2019,2907.06,2019-04-16,2907.06
122,4/17/2019,2900.45,2019-04-17,2900.45
123,4/18/2019,2905.03,2019-04-18,2905.03
124,4/19/2019,,2019-04-19,
125,4/22/2019,2907.97,2019-04-22,2907.97
126,4/23/2019,2933.68,2019-04-23,2933.68
127,4/24/2019,2927.25,2019-04-24,2927.25
128,4/25/2019,2926.17,2019-04-25,2926.17
129,4/26/2019,2939.88,2019-04-26,2939.88
130,4/29/2019,2943.03,2019-04-29,2943.03
131,4/30/2019,2945.83,2019-04-30,2945.83
132,5/1/2019,2923.73,2019-05-01,2923.73
133,5/2/2019,2917.52,2019-05-02,2917.52
134,5/3/2019,2945.64,2019-05-03,2945.64
135,5/6/2019,2932.47,2019-05-06,2932.47
136,5/7/2019,2884.05,2019-05-07,2884.05
