,DATE,SP500
0,2018-10-29,2641.25
1,2018-10-30,2682.63
2,2018-10-31,2711.74
3,2018-11-01,2740.37
4,2018-11-02,2723.06
5,2018-11-05,2738.31
6,2018-11-06,2755.45
7,2018-11-07,2813.89
8,2018-11-08,2806.83
9,2018-11-09,2781.01
10,2018-11-12,2726.22
11,2018-11-13,2722.18
12,2018-11-14,2701.58
13,2018-11-15,2730.2
14,2018-11-16,2736.27
15,2018-11-19,2690.73
16,2018-11-20,2641.89
17,2018-11-21,2649.93
18,2018-11-22,.
19,2018-11-23,2632.56
20,2018-11-26,2673.45
21,2018-11-27,2682.17
22,2018-11-28,2743.79
23,2018-11-29,2737.76
24,2018-11-30,2760.17
25,2018-12-03,2790.37
26,2018-12-04,2700.06
27,2018-12-05,.
28,2018-12-06,2695.95
29,2018-12-07,2633.08
30,2018-12-10,2637.72
31,2018-12-11,2636.78
32,2018-12-12,2651.07
33,2018-12-13,2650.54
34,2018-12-14,2599.95
35,2018-12-17,2545.94
36,2018-12-18,2546.16
37,2018-12-19,2506.96
38,2018-12-20,2467.42
39,2018-12-21,2416.62
40,2018-12-24,2351.1
41,2018-12-25,.
42,2018-12-26,2467.7
43,2018-12-27,2488.83
44,2018-12-28,2485.74
45,2018-12-31,2506.85
46,2019-01-01,.
47,2019-01-02,2510.03
48,2019-01-03,2447.89
49,2019-01-04,2531.94
50,2019-01-07,2549.69
51,2019-01-08,2574.41
52,2019-01-09,2584.96
53,2019-01-10,2596.64
54,2019-01-11,2596.26
55,2019-01-14,2582.61
56,2019-01-15,2610.3
57,2019-01-16,2616.1
58,2019-01-17,2635.96
59,2019-01-18,2670.71
60,2019-01-21,.
61,2019-01-22,2632.9
62,2019-01-23,2638.7
63,2019-01-24,2642.33
64,2019-01-25,2664.76
65,2019-01-28,2643.85
66,2019-01-29,2640
67,2019-01-30,2681.05
68,2019-01-31,2704.1
69,2019-02-01,2706.53
70,2019-02-04,2724.87
71,2019-02-05,2737.7
72,2019-02-06,2731.61
73,2019-02-07,2706.05
74,2019-02-08,2707.88
75,2019-02-11,2709.8
76,2019-02-12,2744.73
77,2019-02-13,2753.03
78,2019-02-14,2745.73
79,2019-02-15,2775.6
80,2019-02-18,.
81,2019-02-19,2779.76
82,2019-02-20,2784.7
83,2019-02-21,2774.88
84,2019-02-22,2792.67
85,2019-02-25,2796.11
86,2019-02-26,2793.9
87,2019-02-27,2792.38
88,2019-02-28,2784.49
89,2019-03-01,2803.69
90,2019-03-04,2792.81
91,2019-03-05,2789.65
