,DATE,TB3MS,month
0,1/1/1934,0.72,01/1934
1,2/1/1934,0.62,02/1934
2,3/1/1934,0.24,03/1934
3,4/1/1934,0.15,04/1934
4,5/1/1934,0.16,05/1934
5,6/1/1934,0.15,06/1934
6,7/1/1934,0.15,07/1934
7,8/1/1934,0.19,08/1934
8,9/1/1934,0.21,09/1934
9,10/1/1934,0.27,10/1934
10,11/1/1934,0.25,11/1934
11,12/1/1934,0.23,12/1934
12,1/1/1935,0.2,01/1935
13,2/1/1935,0.19,02/1935
14,3/1/1935,0.15,03/1935
15,4/1/1935,0.15,04/1935
16,5/1/1935,0.15,05/1935
17,6/1/1935,0.15,06/1935
18,7/1/1935,0.15,07/1935
19,8/1/1935,0.16,08/1935
20,9/1/1935,0.2,09/1935
21,10/1/1935,0.2,10/1935
22,11/1/1935,0.16,11/1935
23,12/1/1935,0.15,12/1935
24,1/1/1936,0.2,01/1936
25,2/1/1936,0.2,02/1936
26,3/1/1936,0.2,03/1936
27,4/1/1936,0.2,04/1936
28,5/1/1936,0.2,05/1936
29,6/1/1936,0.2,06/1936
30,7/1/1936,0.15,07/1936
31,8/1/1936,0.2,08/1936
32,9/1/1936,0.16,09/1936
33,10/1/1936,0.13,10/1936
34,11/1/1936,0.11,11/1936
35,12/1/1936,0.12,12/1936
36,1/1/1937,0.17,01/1937
37,2/1/1937,0.15,02/1937
38,3/1/1937,0.38,03/1937
39,4/1/1937,0.56,04/1937
40,5/1/1937,0.41,05/1937
41,6/1/1937,0.36,06/1937
42,7/1/1937,0.28,07/1937
43,8/1/1937,0.29,08/1937
44,9/1/1937,0.31,09/1937
45,10/1/1937,0.2,10/1937
46,11/1/1937,0.09,11/1937
47,12/1/1937,0.11,12/1937
48,1/1/1938,0.1,01/1938
49,2/1/1938,0.08,02/1938
50,3/1/1938,0.08,03/1938
51,4/1/1938,0.09,04/1938
52,5/1/1938,0.05,05/1938
53,6/1/1938,0.05,06/1938
54,7/1/1938,0.07,07/1938
55,8/1/1938,0.06,08/1938
56,9/1/1938,0.08,09/1938
57,10/1/1938,0.05,10/1938
58,11/1/1938,0.04,11/1938
59,12/1/1938,0.03,12/1938
60,1/1/1939,0.03,01/1939
61,2/1/1939,0.03,02/1939
62,3/1/1939,0.03,03/1939
63,4/1/1939,0.03,04/1939
64,5/1/1939,0.03,05/1939
65,6/1/1939,0.03,06/1939
66,7/1/1939,0.04,07/1939
67,8/1/1939,0.05,08/1939
68,9/1/1939,0.14,09/1939
69,10/1/1939,0.05,10/1939
70,11/1/1939,0.05,11/1939
71,12/1/1939,0.04,12/1939
72,1/1/1940,0.01,01/1940
73,2/1/1940,0.02,02/1940
74,3/1/1940,0.02,03/1940
75,4/1/1940,0.02,04/1940
76,5/1/1940,0.06,05/1940
77,6/1/1940,0.1,06/1940
78,7/1/1940,0.05,07/1940
79,8/1/1940,0.04,08/1940
80,9/1/1940,0.05,09/1940
81,10/1/1940,0.02,10/1940
82,11/1/1940,0.02,11/1940
83,12/1/1940,0.02,12/1940
84,1/1/1941,0.02,01/1941
85,2/1/1941,0.04,02/1941
86,3/1/1941,0.11,03/1941
87,4/1/1941,0.1,04/1941
88,5/1/1941,0.11,05/1941
